state_id,domain,entity_id,state,attributes,event_id,last_changed,last_updated,created,old_state_id
357046,switch,switch.br3wallfan,on,"{""friendly_name"": ""Fan"", ""icon"": ""mdi:fan""}",376214,2021-07-13 18:11:50.484340,2021-07-13 18:11:50.484340,2021-07-13 18:11:50.484340,356245.0
357112,sensor,sensor.xiaomiht_temp,29.17,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",376291,2021-07-13 18:18:44.355879,2021-07-13 18:18:44.355879,2021-07-13 18:18:44.355879,356777.0
357113,sensor,sensor.xiaomiht_humi,84.28,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",376292,2021-07-13 18:18:44.356396,2021-07-13 18:18:44.356396,2021-07-13 18:18:44.356396,356778.0
357450,sensor,sensor.sonoffht_humi,89.33,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",376653,2021-07-13 18:51:24.655392,2021-07-13 18:51:24.655392,2021-07-13 18:51:24.655392,356787.0
357646,sensor,sensor.sonoffht_temp,28.72,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",376871,2021-07-13 19:09:25.999512,2021-07-13 19:09:25.999512,2021-07-13 19:09:25.999512,357004.0
357675,sensor,sensor.xiaomiht_temp,29.31,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",376902,2021-07-13 19:11:21.900497,2021-07-13 19:11:21.900497,2021-07-13 19:11:21.900497,357112.0
357676,sensor,sensor.xiaomiht_humi,84.6,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",376903,2021-07-13 19:11:21.901249,2021-07-13 19:11:21.901249,2021-07-13 19:11:21.901249,357113.0
358098,sensor,sensor.sonoffht_humi,89.08,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",377355,2021-07-13 19:51:25.241107,2021-07-13 19:51:25.241107,2021-07-13 19:51:25.241107,357450.0
358209,sensor,sensor.xiaomiht_temp,29.3,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",377474,2021-07-13 20:01:58.943466,2021-07-13 20:01:58.943466,2021-07-13 20:01:58.943466,357675.0
358210,sensor,sensor.xiaomiht_humi,84.47,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",377475,2021-07-13 20:01:58.944285,2021-07-13 20:01:58.944285,2021-07-13 20:01:58.944285,357676.0
358271,sensor,sensor.sonoffht_temp,28.62,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",377542,2021-07-13 20:09:26.580352,2021-07-13 20:09:26.580352,2021-07-13 20:09:26.580352,357646.0
358715,sensor,sensor.sonoffht_humi,89.03,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",378017,2021-07-13 20:51:25.840047,2021-07-13 20:51:25.840047,2021-07-13 20:51:25.840047,358098.0
358807,sensor,sensor.xiaomiht_temp,29.33,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",378115,2021-07-13 20:59:57.560956,2021-07-13 20:59:57.560956,2021-07-13 20:59:57.560956,358209.0
